Scenario_Full_ID,M_Opt,Max_Value,Error_Rate,Error_Type,Pos_Errors,Neg_Errors,Seeded_Population_Rate,Config_ID,Avg_Time_Sec,Avg_Generations,Avg_Found_M,Avg_Distance_From_Opt
M40_Max250_Clean_Seed0%_CfgA,40,250,0.0,none,0,0,0.0,A,7.1338,44.5,51.7,11.7
M40_Max250_Clean_Seed0%_CfgB,40,250,0.0,none,0,0,0.0,B,11.3263,40.4,50.9,10.9
M40_Max250_Clean_Seed2%_CfgA,40,250,0.0,none,0,0,0.02,A,6.1444,42.2,50.3,10.3
M40_Max250_Clean_Seed0%_CfgC,40,250,0.0,none,0,0,0.0,C,21.0424,32,51.8,11.8
M40_Max250_Clean_Seed2%_CfgB,40,250,0.0,none,0,0,0.02,B,13.2404,49.8,49.3,9.3
M40_Max250_Err2%_pos_Seed0%_CfgA,40,250,0.02,pos,16,0,0.0,A,6.8475,46.3,51.9,11.9
M40_Max250_Clean_Seed2%_CfgC,40,250,0.0,none,0,0,0.02,C,23.7887,39,48.3,8.3
M40_Max250_Err2%_pos_Seed0%_CfgB,40,250,0.02,pos,16,0,0.0,B,13.3872,46.2,51.5,11.5
M40_Max250_Err2%_pos_Seed2%_CfgA,40,250,0.02,pos,16,0,0.02,A,6.4155,42.8,52.3,12.3
M40_Max250_Err2%_pos_Seed2%_CfgB,40,250,0.02,pos,16,0,0.02,B,13.1838,45.2,51.7,11.7
M40_Max250_Err2%_pos_Seed0%_CfgC,40,250,0.02,pos,16,0,0.0,C,29.3883,41.8,52.5,12.5
M40_Max250_Err2%_neg_Seed0%_CfgA,40,250,0.02,neg,0,16,0.0,A,5.9252,43,51.4,11.4
M40_Max250_Err2%_neg_Seed0%_CfgB,40,250,0.02,neg,0,16,0.0,B,11.9702,44.6,50.7,10.7
M40_Max250_Err2%_pos_Seed2%_CfgC,40,250,0.02,pos,16,0,0.02,C,31.1561,45.7,52,12
M40_Max250_Err2%_neg_Seed2%_CfgA,40,250,0.02,neg,0,16,0.02,A,5.0972,36.6,50,10
M40_Max250_Err2%_neg_Seed0%_CfgC,40,250,0.02,neg,0,16,0.0,C,22.4084,33.8,51.4,11.4
M40_Max250_Err2%_neg_Seed2%_CfgB,40,250,0.02,neg,0,16,0.02,B,10.7562,40.8,50,10
M40_Max250_Err2%_both_Seed0%_CfgA,40,250,0.02,both,16,16,0.0,A,5.3392,36.8,51.8,11.8
M40_Max250_Err2%_neg_Seed2%_CfgC,40,250,0.02,neg,0,16,0.02,C,19.1271,30.7,49.4,9.4
M40_Max250_Err2%_both_Seed0%_CfgB,40,250,0.02,both,16,16,0.0,B,9.9274,34.7,51.5,11.5
M40_Max250_Err2%_both_Seed2%_CfgA,40,250,0.02,both,16,16,0.02,A,5.9227,41.4,51.6,11.6
M40_Max250_Err2%_both_Seed0%_CfgC,40,250,0.02,both,16,16,0.0,C,25.391,36.9,52.2,12.2
M40_Max250_Err2%_both_Seed2%_CfgB,40,250,0.02,both,16,16,0.02,B,13.1736,45.9,51.5,11.5
M40_Max250_Err5%_pos_Seed0%_CfgA,40,250,0.05,pos,39,0,0.0,A,5.744,36.9,53.2,13.2
M40_Max250_Err2%_both_Seed2%_CfgC,40,250,0.02,both,16,16,0.02,C,24.3636,34.8,52.3,12.3
M40_Max250_Err5%_pos_Seed0%_CfgB,40,250,0.05,pos,39,0,0.0,B,12.3491,40.8,52.7,12.7
M40_Max250_Err5%_pos_Seed2%_CfgA,40,250,0.05,pos,39,0,0.02,A,8.1347,52.2,52.5,12.5
M40_Max250_Err5%_pos_Seed0%_CfgC,40,250,0.05,pos,39,0,0.0,C,25.983,36.5,53,13
M40_Max250_Err5%_pos_Seed2%_CfgB,40,250,0.05,pos,39,0,0.02,B,12.4439,41.5,52.5,12.5
M40_Max250_Err5%_neg_Seed0%_CfgA,40,250,0.05,neg,0,39,0.0,A,4.9244,35.9,50.8,10.8
M40_Max250_Err5%_pos_Seed2%_CfgC,40,250,0.05,pos,39,0,0.02,C,26.7331,37,53.3,13.3
M40_Max250_Err5%_neg_Seed0%_CfgB,40,250,0.05,neg,0,39,0.0,B,11.6653,44.5,49.8,9.8
M40_Max250_Err5%_neg_Seed2%_CfgA,40,250,0.05,neg,0,39,0.02,A,5.7921,39.8,50.6,10.6
M40_Max250_Err5%_neg_Seed2%_CfgB,40,250,0.05,neg,0,39,0.02,B,17.3845,48.8,50,10
M40_Max250_Err5%_neg_Seed0%_CfgC,40,250,0.05,neg,0,39,0.0,C,28.6173,40.8,50.4,10.4
M40_Max250_Err5%_both_Seed0%_CfgA,40,250,0.05,both,39,39,0.0,A,12.5748,42.7,52,12
M40_Max250_Err5%_neg_Seed2%_CfgC,40,250,0.05,neg,0,39,0.02,C,38.1776,37.2,50.7,10.7
M40_Max250_Err5%_both_Seed0%_CfgB,40,250,0.05,both,39,39,0.0,B,18.7874,45.1,51.3,11.3
M40_Max250_Err5%_both_Seed2%_CfgA,40,250,0.05,both,39,39,0.02,A,8.9334,41.8,52.2,12.2
M40_Max250_Err5%_both_Seed2%_CfgB,40,250,0.05,both,39,39,0.02,B,13.6819,40,51.9,11.9
M40_Max250_Err5%_both_Seed0%_CfgC,40,250,0.05,both,39,39,0.0,C,42.6679,39,52.5,12.5
M40_Max500_Clean_Seed0%_CfgA,40,500,0.0,none,0,0,0.0,A,13.1712,34.7,61.9,21.9
M40_Max250_Err5%_both_Seed2%_CfgC,40,250,0.05,both,39,39,0.02,C,32.1199,40.5,52,12
M40_Max500_Clean_Seed0%_CfgB,40,500,0.0,none,0,0,0.0,B,30.3361,42.7,61.2,21.2
M40_Max500_Clean_Seed2%_CfgA,40,500,0.0,none,0,0,0.02,A,11.9721,37.8,54.2,14.2
M40_Max500_Clean_Seed2%_CfgB,40,500,0.0,none,0,0,0.02,B,14.7421,29.7,48.6,8.6
M40_Max500_Clean_Seed0%_CfgC,40,500,0.0,none,0,0,0.0,C,60.7615,34.4,61.7,21.7
M40_Max500_Err2%_pos_Seed0%_CfgA,40,500,0.02,pos,16,0,0.0,A,14.2773,39.3,62.5,22.5
M40_Max500_Err2%_pos_Seed0%_CfgB,40,500,0.02,pos,16,0,0.0,B,31.98,42.2,61.6,21.6
M40_Max500_Clean_Seed2%_CfgC,40,500,0.0,none,0,0,0.02,C,36.7429,27.4,42.2,2.2
M40_Max500_Err2%_pos_Seed2%_CfgA,40,500,0.02,pos,16,0,0.02,A,15.8089,41.4,61.6,21.6
M40_Max500_Err2%_pos_Seed0%_CfgC,40,500,0.02,pos,16,0,0.0,C,68.3328,33.3,62.9,22.9
M40_Max500_Err2%_pos_Seed2%_CfgB,40,500,0.02,pos,16,0,0.02,B,29.1667,39.9,60.6,20.6
M40_Max500_Err2%_neg_Seed0%_CfgA,40,500,0.02,neg,0,16,0.0,A,16.6154,51,59.4,19.4
M40_Max500_Err2%_neg_Seed0%_CfgB,40,500,0.02,neg,0,16,0.0,B,27.0418,43.1,60.6,20.6
M40_Max500_Err2%_pos_Seed2%_CfgC,40,500,0.02,pos,16,0,0.02,C,65.615,37.2,61.2,21.2
M40_Max500_Err2%_neg_Seed2%_CfgA,40,500,0.02,neg,0,16,0.02,A,10.4446,34.9,58.2,18.2
M40_Max500_Err2%_neg_Seed2%_CfgB,40,500,0.02,neg,0,16,0.02,B,19.2056,36.4,54.2,14.2
M40_Max500_Err2%_neg_Seed0%_CfgC,40,500,0.02,neg,0,16,0.0,C,59.5465,35.5,61.7,21.7
M40_Max500_Err2%_both_Seed0%_CfgA,40,500,0.02,both,16,16,0.0,A,11.7589,37.1,61.4,21.4
M40_Max500_Err2%_both_Seed0%_CfgB,40,500,0.02,both,16,16,0.0,B,25.8847,39.9,62,22
M40_Max500_Err2%_neg_Seed2%_CfgC,40,500,0.02,neg,0,16,0.02,C,49.6848,37,48.9,8.9
M40_Max500_Err2%_both_Seed2%_CfgA,40,500,0.02,both,16,16,0.02,A,14.0097,43.4,61.5,21.5
M40_Max500_Err2%_both_Seed0%_CfgC,40,500,0.02,both,16,16,0.0,C,52.0193,30.7,62.6,22.6
M40_Max500_Err2%_both_Seed2%_CfgB,40,500,0.02,both,16,16,0.02,B,26.0205,41.9,60.9,20.9
M40_Max500_Err5%_pos_Seed0%_CfgA,40,500,0.05,pos,39,0,0.0,A,14.2911,41.1,63.3,23.3
M40_Max500_Err2%_both_Seed2%_CfgC,40,500,0.02,both,16,16,0.02,C,49.557,29.8,61.8,21.8
M40_Max500_Err5%_pos_Seed0%_CfgB,40,500,0.05,pos,39,0,0.0,B,28.802,43.8,62,22
M40_Max500_Err5%_pos_Seed2%_CfgA,40,500,0.05,pos,39,0,0.02,A,13.4149,38.5,62.9,22.9
M40_Max500_Err5%_pos_Seed0%_CfgC,40,500,0.05,pos,39,0,0.0,C,51.8019,29.2,63.8,23.8
M40_Max500_Err5%_pos_Seed2%_CfgB,40,500,0.05,pos,39,0,0.02,B,24.5734,37.9,62.1,22.1
M40_Max500_Err5%_neg_Seed0%_CfgA,40,500,0.05,neg,0,39,0.0,A,11.7227,37.1,61.3,21.3
M40_Max500_Err5%_pos_Seed2%_CfgC,40,500,0.05,pos,39,0,0.02,C,54.1547,30.8,63.6,23.6
M40_Max500_Err5%_neg_Seed0%_CfgB,40,500,0.05,neg,0,39,0.0,B,24.5871,40.9,60.1,20.1
M40_Max500_Err5%_neg_Seed2%_CfgA,40,500,0.05,neg,0,39,0.02,A,10.9864,38.9,56.5,16.5
M40_Max500_Err5%_neg_Seed0%_CfgC,40,500,0.05,neg,0,39,0.0,C,49.2035,30.7,61.1,21.1
