Scenario_Full_ID,M_Opt,Max_Value,Error_Rate,Error_Type,Pos_Errors,Neg_Errors,Seeded_Population_Rate,Config_ID,Avg_Time_Sec,Avg_Generations,Avg_Found_M,Avg_Distance_From_Opt
M10_Max250_Clean_Seed0%_CfgA,10,250,0.0,none,0,0,0.0,A,0.0248,25.3,10,0
M10_Max250_Clean_Seed0%_CfgB,10,250,0.0,none,0,0,0.0,B,0.0551,25.2,10,0
M10_Max250_Clean_Seed2%_CfgA,10,250,0.0,none,0,0,0.02,A,0.0348,25,10,0
M10_Max250_Clean_Seed0%_CfgC,10,250,0.0,none,0,0,0.0,C,0.1712,25.1,10,0
M10_Max250_Clean_Seed2%_CfgB,10,250,0.0,none,0,0,0.02,B,0.0584,25,10,0
M10_Max250_Clean_Seed5%_CfgA,10,250,0.0,none,0,0,0.05,A,0.0371,25,10,0
M10_Max250_Clean_Seed2%_CfgC,10,250,0.0,none,0,0,0.02,C,0.1759,25,10,0
M10_Max250_Clean_Seed5%_CfgB,10,250,0.0,none,0,0,0.05,B,0.063,25,10,0
M10_Max250_Clean_Seed5%_CfgC,10,250,0.0,none,0,0,0.05,C,0.1597,25,10,0
M10_Max250_Err2%_pos_Seed0%_CfgA,10,250,0.02,pos,1,0,0.0,A,0.0448,25.7,11,1
M10_Max250_Err2%_pos_Seed0%_CfgB,10,250,0.02,pos,1,0,0.0,B,0.0922,25.2,11,1
M10_Max250_Err2%_pos_Seed2%_CfgA,10,250,0.02,pos,1,0,0.02,A,0.0489,25.3,11,1
M10_Max250_Err2%_pos_Seed0%_CfgC,10,250,0.02,pos,1,0,0.0,C,0.219,25.1,11,1
M10_Max250_Err2%_pos_Seed2%_CfgB,10,250,0.02,pos,1,0,0.02,B,0.0791,25.1,11,1
M10_Max250_Err2%_pos_Seed2%_CfgC,10,250,0.02,pos,1,0,0.02,C,0.211,25,11,1
M10_Max250_Err2%_pos_Seed5%_CfgA,10,250,0.02,pos,1,0,0.05,A,0.0489,25.4,11,1
M10_Max250_Err2%_pos_Seed5%_CfgB,10,250,0.02,pos,1,0,0.05,B,0.0743,25,11,1
M10_Max250_Err2%_neg_Seed0%_CfgA,10,250,0.02,neg,0,1,0.0,A,0.0417,25.4,10,0
M10_Max250_Err2%_pos_Seed5%_CfgC,10,250,0.02,pos,1,0,0.05,C,0.2051,25,11,1
M10_Max250_Err2%_neg_Seed0%_CfgB,10,250,0.02,neg,0,1,0.0,B,0.0778,26,10.3,0.3
M10_Max250_Err2%_neg_Seed2%_CfgA,10,250,0.02,neg,0,1,0.02,A,0.0404,25.6,10,0
M10_Max250_Err2%_neg_Seed0%_CfgC,10,250,0.02,neg,0,1,0.0,C,0.1836,25,10.2,0.2
M10_Max250_Err2%_neg_Seed2%_CfgB,10,250,0.02,neg,0,1,0.02,B,0.0656,25.1,10,0
M10_Max250_Err2%_neg_Seed5%_CfgA,10,250,0.02,neg,0,1,0.05,A,0.0328,25.1,10,0
M10_Max250_Err2%_neg_Seed2%_CfgC,10,250,0.02,neg,0,1,0.02,C,0.1757,25,10,0
M10_Max250_Err2%_neg_Seed5%_CfgB,10,250,0.02,neg,0,1,0.05,B,0.0657,25.3,10.4,0.4
M10_Max250_Err2%_both_Seed0%_CfgA,10,250,0.02,both,1,1,0.0,A,0.0442,26.1,10.9,0.9
M10_Max250_Err2%_neg_Seed5%_CfgC,10,250,0.02,neg,0,1,0.05,C,0.1825,25,10.4,0.4
M10_Max250_Err2%_both_Seed0%_CfgB,10,250,0.02,both,1,1,0.0,B,0.0766,25.4,11,1
M10_Max250_Err2%_both_Seed0%_CfgC,10,250,0.02,both,1,1,0.0,C,0.1883,25.1,11,1
M10_Max250_Err2%_both_Seed2%_CfgA,10,250,0.02,both,1,1,0.02,A,0.0416,25.1,11,1
M10_Max250_Err2%_both_Seed2%_CfgB,10,250,0.02,both,1,1,0.02,B,0.07,25.2,11,1
M10_Max250_Err2%_both_Seed5%_CfgA,10,250,0.02,both,1,1,0.05,A,0.046,25.3,11.4,1.4
M10_Max250_Err2%_both_Seed2%_CfgC,10,250,0.02,both,1,1,0.02,C,0.1924,25.1,11,1
M10_Max250_Err2%_both_Seed5%_CfgB,10,250,0.02,both,1,1,0.05,B,0.0766,25.1,11,1
M10_Max250_Err5%_pos_Seed0%_CfgA,10,250,0.05,pos,2,0,0.0,A,0.0555,25.3,12,2
M10_Max250_Err2%_both_Seed5%_CfgC,10,250,0.02,both,1,1,0.05,C,0.2094,25.1,10.9,0.9
M10_Max250_Err5%_pos_Seed0%_CfgB,10,250,0.05,pos,2,0,0.0,B,0.081,25.5,11.8,1.8
M10_Max250_Err5%_pos_Seed0%_CfgC,10,250,0.05,pos,2,0,0.0,C,0.2412,25.2,11.8,1.8
M10_Max250_Err5%_pos_Seed2%_CfgA,10,250,0.05,pos,2,0,0.02,A,0.053,25.6,11.9,1.9
M10_Max250_Err5%_pos_Seed2%_CfgB,10,250,0.05,pos,2,0,0.02,B,0.0882,25.2,11.9,1.9
M10_Max250_Err5%_pos_Seed5%_CfgA,10,250,0.05,pos,2,0,0.05,A,0.0524,25.2,11.8,1.8
M10_Max250_Err5%_pos_Seed2%_CfgC,10,250,0.05,pos,2,0,0.02,C,0.2477,25,12,2
M10_Max250_Err5%_pos_Seed5%_CfgB,10,250,0.05,pos,2,0,0.05,B,0.0794,25.2,11.7,1.7
M10_Max250_Err5%_neg_Seed0%_CfgA,10,250,0.05,neg,0,2,0.0,A,0.0426,26,10.3,0.3
M10_Max250_Err5%_pos_Seed5%_CfgC,10,250,0.05,pos,2,0,0.05,C,0.2299,25,11.8,1.8
M10_Max250_Err5%_neg_Seed0%_CfgB,10,250,0.05,neg,0,2,0.0,B,0.0582,25.4,10,0
M10_Max250_Err5%_neg_Seed2%_CfgA,10,250,0.05,neg,0,2,0.02,A,0.0386,25.4,10.4,0.4
M10_Max250_Err5%_neg_Seed0%_CfgC,10,250,0.05,neg,0,2,0.0,C,0.1617,25.1,10,0
M10_Max250_Err5%_neg_Seed2%_CfgB,10,250,0.05,neg,0,2,0.02,B,0.0674,25.4,10.7,0.7
M10_Max250_Err5%_neg_Seed5%_CfgA,10,250,0.05,neg,0,2,0.05,A,0.0335,25.3,10,0
M10_Max250_Err5%_neg_Seed2%_CfgC,10,250,0.05,neg,0,2,0.02,C,0.1839,25.3,10.6,0.6
M10_Max250_Err5%_neg_Seed5%_CfgB,10,250,0.05,neg,0,2,0.05,B,0.0639,25.3,10.2,0.2
M10_Max250_Err5%_neg_Seed5%_CfgC,10,250,0.05,neg,0,2,0.05,C,0.1725,25.3,10,0
M10_Max250_Err5%_both_Seed0%_CfgA,10,250,0.05,both,2,2,0.0,A,0.0476,25.9,11.8,1.8
M10_Max250_Err5%_both_Seed0%_CfgB,10,250,0.05,both,2,2,0.0,B,0.103,25.7,12.3,2.3
M10_Max250_Err5%_both_Seed2%_CfgA,10,250,0.05,both,2,2,0.02,A,0.0513,25.6,12,2
M10_Max250_Err5%_both_Seed0%_CfgC,10,250,0.05,both,2,2,0.0,C,0.2353,25.3,12,2
M10_Max250_Err5%_both_Seed2%_CfgB,10,250,0.05,both,2,2,0.02,B,0.0917,25.2,11.8,1.8
M10_Max250_Err5%_both_Seed5%_CfgA,10,250,0.05,both,2,2,0.05,A,0.0612,25.9,12,2
M10_Max250_Err5%_both_Seed2%_CfgC,10,250,0.05,both,2,2,0.02,C,0.2491,25.1,11.7,1.7
M10_Max250_Err5%_both_Seed5%_CfgB,10,250,0.05,both,2,2,0.05,B,0.1165,25.5,12.2,2.2
M10_Max500_Clean_Seed0%_CfgA,10,500,0.0,none,0,0,0.0,A,0.0448,25.1,10,0
M10_Max500_Clean_Seed0%_CfgB,10,500,0.0,none,0,0,0.0,B,0.0781,25,10,0
M10_Max250_Err5%_both_Seed5%_CfgC,10,250,0.05,both,2,2,0.05,C,0.288,25.3,12.3,2.3
M10_Max500_Clean_Seed2%_CfgA,10,500,0.0,none,0,0,0.02,A,0.0445,25,10,0
M10_Max500_Clean_Seed0%_CfgC,10,500,0.0,none,0,0,0.0,C,0.1997,25.1,10,0
M10_Max500_Clean_Seed2%_CfgB,10,500,0.0,none,0,0,0.02,B,0.0735,25,10,0
M10_Max500_Clean_Seed5%_CfgA,10,500,0.0,none,0,0,0.05,A,0.0389,25,10,0
M10_Max500_Clean_Seed2%_CfgC,10,500,0.0,none,0,0,0.02,C,0.1818,25,10,0
M10_Max500_Clean_Seed5%_CfgB,10,500,0.0,none,0,0,0.05,B,0.0697,25,10,0
M10_Max500_Clean_Seed5%_CfgC,10,500,0.0,none,0,0,0.05,C,0.1921,25,10,0
M10_Max500_Err2%_pos_Seed0%_CfgA,10,500,0.02,pos,1,0,0.0,A,0.047,25.7,11,1
M10_Max500_Err2%_pos_Seed0%_CfgB,10,500,0.02,pos,1,0,0.0,B,0.0858,25.2,11,1
M10_Max500_Err2%_pos_Seed2%_CfgA,10,500,0.02,pos,1,0,0.02,A,0.0441,25,11,1
M10_Max500_Err2%_pos_Seed0%_CfgC,10,500,0.02,pos,1,0,0.0,C,0.2149,25,11,1
M10_Max500_Err2%_pos_Seed2%_CfgB,10,500,0.02,pos,1,0,0.02,B,0.0777,25,11,1
M10_Max500_Err2%_pos_Seed5%_CfgA,10,500,0.02,pos,1,0,0.05,A,0.0452,25,11,1
M10_Max500_Err2%_pos_Seed2%_CfgC,10,500,0.02,pos,1,0,0.02,C,0.2214,25,11,1
M10_Max500_Err2%_pos_Seed5%_CfgB,10,500,0.02,pos,1,0,0.05,B,0.0813,25.1,11,1
M10_Max500_Err2%_neg_Seed0%_CfgA,10,500,0.02,neg,0,1,0.0,A,0.046,25.6,10.4,0.4
M10_Max500_Err2%_pos_Seed5%_CfgC,10,500,0.02,pos,1,0,0.05,C,0.2361,25,11,1
M10_Max500_Err2%_neg_Seed0%_CfgB,10,500,0.02,neg,0,1,0.0,B,0.0699,25.1,10,0
M10_Max500_Err2%_neg_Seed2%_CfgA,10,500,0.02,neg,0,1,0.02,A,0.0399,25,10,0
M10_Max500_Err2%_neg_Seed0%_CfgC,10,500,0.02,neg,0,1,0.0,C,0.1938,25.1,10.4,0.4
M10_Max500_Err2%_neg_Seed2%_CfgB,10,500,0.02,neg,0,1,0.02,B,0.0672,25,10,0
M10_Max500_Err2%_neg_Seed2%_CfgC,10,500,0.02,neg,0,1,0.02,C,0.1689,25,10,0
M10_Max500_Err2%_neg_Seed5%_CfgA,10,500,0.02,neg,0,1,0.05,A,0.036,25.1,10,0
M10_Max500_Err2%_neg_Seed5%_CfgB,10,500,0.02,neg,0,1,0.05,B,0.0642,25.1,10.3,0.3
M10_Max500_Err2%_neg_Seed5%_CfgC,10,500,0.02,neg,0,1,0.05,C,0.1933,25,10,0
M10_Max500_Err2%_both_Seed0%_CfgA,10,500,0.02,both,1,1,0.0,A,0.051,25.4,11,1
M10_Max500_Err2%_both_Seed0%_CfgB,10,500,0.02,both,1,1,0.0,B,0.0813,25.3,11,1
M10_Max500_Err2%_both_Seed2%_CfgA,10,500,0.02,both,1,1,0.02,A,0.04,25.3,11,1
M10_Max500_Err2%_both_Seed0%_CfgC,10,500,0.02,both,1,1,0.0,C,0.2064,25.1,11,1
